a,e,i,aop,s,p,f,GDoP,HDoP,dV,T,Decomp
21610.43287932312,0.020737539788249437,39.658765807964166,12.930159132080519,7,4,0.6938554113738997,3.1982787208989247,1.573524131566403,0.01628354014216809,28.0,0.7046056737301739
26426.31051577728,0.08351073588481202,57.095989250306204,5.366205607683838,6,7,0.9511768878783919,1.8331127743234,0.8176460594174295,0.030383812379836953,42.0,0.8163432076869599
27574.002784990793,0.005757208945247505,88.59129907398736,80.09462837839553,6,6,0.47221619705076945,2.3771509348831863,0.9319934854028145,0.028316886235372374,36.0,0.7501580654354987
19025.29020486725,0.020737539788249437,28.964591997322003,13.360559217837991,7,4,0.6938554113738997,3.3352645795114215,1.637270300512517,0.012058466693487127,28.0,0.7170799119281418
18988.837598054077,0.03785497699424044,30.505714209554732,10.934981037295316,6,4,0.862302717890841,4.770348062372393,2.4078800670419054,0.01216209759124595,24.0,0.8388637040874657
30508.73371494687,0.027109482737629212,77.47375151408713,4.191419887502203,6,5,0.37294282744758084,2.2708837583543855,1.1177300643733146,0.051584186190814764,30.0,0.660716984495505
20322.09513150663,0.06336529789755851,64.82640741507475,159.27807521894923,5,4,0.06045406601614889,9.341834507818533,3.6973840268656124,0.01811658824417213,20.0,1.3810142510671501
13263.866444098905,0.01662082543130631,28.964591997322003,13.071600900913662,6,4,0.8605447353071253,9.515246614395528,4.674576252203229,0.00870502556135151,24.0,1.5290866574172068
25502.094882862093,0.03502759897600871,76.1699371272369,53.42139584346689,8,4,0.8497689100179306,2.470266272483126,1.2140738038221452,0.02759809432119812,32.0,0.707453816482701
17412.311242150354,0.11166348201090752,55.50074439071671,213.38726040667333,8,7,0.33500826554076973,1.416848890772256,0.6843975069147855,0.02117922251679485,56.0,1.01781962632067
28384.838028902224,0.00026643786489826196,76.6460389737,326.07731187285964,7,5,0.6962268957807768,1.9270426094608473,0.9761492467068239,0.03870237466659264,35.0,0.7172586572654038
14400.924205327741,0.05637955515355224,32.900492711742935,186.16229381594263,7,5,0.2566619607072712,2.510848919324358,1.1197857693855653,0.011316223758095774,35.0,0.7512985166328097
12774.630802373562,0.03557388341742585,48.47446618980574,328.96080556484213,10,3,0.8476957733588183,3.2586391046894088,1.6875760095022199,0.01613357360221312,30.0,0.7462505806531841
27592.822123778453,0.019911860046821397,74.50653451257577,26.225159488231213,7,4,0.41355096623524035,3.0557864842314393,1.4500533382950516,0.032710447890298186,28.0,0.6875962562958473
22101.56166238126,0.049832639278548044,58.214724450091424,165.32843415050436,6,4,0.8503202778808241,3.9256546923087754,1.645407206979688,0.018737572087723604,24.0,0.7024059800947121
18780.600907297026,0.10674251024758663,52.16937871456189,120.51221568342844,8,5,0.6792481102057935,1.7626977360755083,0.8397097592074199,0.013935830683622552,40.0,0.7811818166732418
10960.138333362693,0.010687980544035358,31.118669485425485,209.53079148364623,6,10,0.3193485807830933,2.821451347112277,1.093855078075498,0.008008833346757161,60.0,1.1680246469820785
14100.867196043242,0.03589463236295029,64.2985529715643,68.66612283376658,10,6,0.21769408513327437,1.411301555400398,0.6889314898251361,0.018421371648667386,60.0,1.0828526072614464
14484.402611091742,0.016878346708998418,22.137749441834995,8.553923271173872,6,8,0.8785369015086402,2.9203859750136845,1.051555005099308,0.010722845214098414,48.0,0.975735360445632
31292.45179703548,0.072945104172914,89.43608422938733,342.3924692739038,7,7,0.49154515001693533,1.4945462563191572,0.7778319653184929,0.04498301047446326,49.0,0.9150505198989931
23893.451351291467,0.04093015295277584,71.86295831856131,85.27273328051946,10,6,0.8267135273633786,1.2309346540928627,0.6488460383935072,0.02246360528056268,60.0,1.0732884586563107
14400.924205327741,0.011289615995066567,32.900492711742935,180.62566999481263,7,5,0.2566619607072712,2.4997793714851024,1.1114028644565646,0.011073365527142033,35.0,0.7501660849938799
18845.628075815064,0.020737539788249437,36.270556176158756,59.29237061974072,7,4,0.9292447940728599,3.0407789238118257,1.5053057756666535,0.012433577716601718,28.0,0.6916932906897417
17066.413970204107,0.05925525121717137,21.213388675912743,209.38825958951463,10,6,0.15345241888679362,2.014278344522447,0.9629542734350449,0.012300693242925684,60.0,1.1252423510182497
23092.619586046807,0.162735729781289,44.77148738868534,323.35381656616937,9,5,0.27240181165402105,1.7278757222001313,0.8702560576732156,0.01696883911467514,45.0,0.863285470549413
26171.096398490972,0.0143136940571095,53.871173229366846,322.54918812239345,8,5,0.49802199380394097,1.7036842874412583,0.8285305824273045,0.021972003609240766,40.0,0.7784232744464962
13159.753462702029,0.020737539788249437,15.599273369385205,91.9356609320258,7,5,0.22886133389283558,9.278430517519006,1.6698246377061032,0.009684924624338457,35.0,1.3144747282615694
14368.728916670625,0.05637955515355224,32.08740690446396,337.91761448950706,7,6,0.6750312900416132,9.521809142022006,0.9805131540764586,0.011625608270428649,42.0,1.3766220154640683
17392.98437858306,0.05637955515355224,25.87380640442748,337.9538923613742,9,3,0.8071315747340646,3.6714099101805147,1.7118583555047937,0.01167753934033624,27.0,0.7281615919038561
28384.838028902224,0.00026643786489826196,70.16953747648137,326.5413415370087,6,6,0.6563695758697508,2.044509917643445,0.9013250402421746,0.03891052725870557,36.0,0.7337045410970988
28201.918321640056,0.08613985073856273,60.027494424719876,55.695781279420814,7,6,0.24071716733885828,1.691264860556224,0.845566993369455,0.0363930269772367,42.0,0.8126547464285198
